OBJECTID,FACILITYID,INTID,ZONING,ZONINGABBREV,REZONINGFILE,PDUSE,PDDENSITY,DEVELOPEDASPD,APPROVALDATE,COLORCODE,LASTUPDATE,NOTES,SHAPE_Length,SHAPE_Area
1,1,1,A,A,,,0,,,17,2022/04/22 20:37:03+00,,856.089582632758,44957.808362787
2,2,2,A,A,,,0,,,17,2022/04/22 20:37:04+00,,15784.038147376,6765505.30049364
3,3,3,A,A,,,0,,,17,2022/04/22 20:37:04+00,,4548.40885166461,488591.205267565
4,4,4,A,A,,,0,,,17,2022/04/22 20:37:05+00,,17137.2898451855,11365406.8773265
5,5,5,R-1-5,R-1-5,C20-007,,0,,,1,2022/04/22 20:37:06+00,,2236.20370241884,57182.5158789079
6,6,6,R-1-5,R-1-5,C20-007,,0,,,1,2022/04/22 20:37:06+00,,1465.2094000699,121965.879613203
7,7,7,OS,OS,C23-116,,0,,,17,2025/04/09 20:21:21+00,,2753.81931149927,63372.8419110102
8,8,8,OS,OS,C23-116,,0,,2024/03/19 00:00:00+00,17,2025/07/15 20:19:42+00,,716.666509068839,19035.3009917484
10,10,10,IP,IP,C21-021 ,,0,,,13,2023/05/25 15:37:39+00,,5810.72338165949,1004597.19836605
11,11,11,A,A,,,0,,,17,2022/04/22 20:37:08+00,,1790.93967727859,43592.8611971369
12,12,12,PQP,PQP,C24-005,,0,,2024/03/19 00:00:00+00,16,2025/07/15 21:34:40+00,,3792.34079331472,859681.671991906
13,13,13,A,A,,,0,,,17,2022/04/22 20:37:09+00,,1935.01264061931,226986.155001942
14,14,14,OS,OS,C23-116,,0,,2024/03/19 00:00:00+00,17,2025/07/15 21:13:27+00,,1655.62462366335,54135.6883196978
15,15,15,R-1-8,R-1-8,C24-004,,0,,,1,2025/04/09 23:04:06+00,,2369.33930714458,145317.63535389
16,13084,13084,R-2(PD),R-2(PD),PDC21-019,Res,0,Yes,2022/12/13 00:00:00+00,2,2024/02/27 18:04:58+00,,963.31420833677,43487.8273404257
17,17,17,OS,OS,C23-116,,0,,,17,2025/04/10 17:33:43+00,,3620.82458710349,67386.577081342
18,18,18,OS,OS,C24-004,,0,,,17,2025/04/10 15:09:48+00,,18382.8521260426,8567369.59061514
19,19,19,CP,CP,C22-127,,0,,2023/11/07 00:00:00+00,5,2024/04/11 17:47:55+00,AUG29,517.4519391143,9053.88974655244
20,20,20,CP,CP,C22-127,,0,,2023/11/07 00:00:00+00,5,2024/04/11 17:47:55+00,AUG29,1289.85927812406,77719.0608686732
21,21,21,R-1-8,R-1-8,C22-134,,0,,2023/11/07 00:00:00+00,1,2024/04/11 18:00:49+00,AUG29,997.188963799848,50819.6855732731
22,22,22,OS,OS,C23-116,,0,,,17,2025/04/09 15:03:17+00,,2921.26365137269,424052.259965296
23,23,23,A,A,,,0,,,17,2022/04/22 20:37:15+00,,4065.02747801036,1065973.86476039
24,24,24,PQP,PQP,C24-020,,,,,16,2024/06/17 21:16:13+00,,544.387433530458,19021.699295984
25,25,25,A,A,,,0,,,17,2022/04/22 20:37:17+00,,9324.34882545132,1214337.54793438
26,26,26,MUN,MUN,C24-018,,,,,7,2024/06/17 21:16:13+00,,370.083055969338,8252.37518792896
27,27,27,A,A,,,0,,,17,2022/04/22 20:37:18+00,,3083.50060107417,321989.086595385
28,28,28,CG,CG,C23-001,,0,,2023/06/13 00:00:00+00,7,2024/04/10 23:18:12+00,ORD30922,937.823997449048,37289.0455632226
29,29,29,A,A,,,0,,,17,2022/04/22 20:37:19+00,,1866.1776717183,49703.3424394109
30,30,30,A,A,,,0,,,17,2023/05/24 23:03:39+00,,1604.26157403449,66448.1041963629
31,31,31,PQP,PQP,C22-133,,0,,2023/11/07 00:00:00+00,16,2024/04/11 17:58:15+00,AUG29,3167.60680321032,519682.788947383
32,32,32,A,A,,,0,,,17,2022/04/22 20:37:21+00,,681.319213273373,31356.3193189184
33,33,33,A,A,,,0,,,17,2022/04/22 20:37:21+00,,1208.31767100618,44551.1056852936
34,34,34,A,A,,,0,,,17,2022/04/22 20:37:22+00,,12816.3661397494,3068681.28890795
35,35,35,A,A,,,0,,,17,2022/04/22 20:37:22+00,,657.359306197284,14102.4538939763
36,36,36,MUN,MUN,C22-130,,0,,2023/11/07 00:00:00+00,7,2024/04/11 17:48:14+00,AUG29,2034.83706089163,15310.898731497
37,37,37,A,A,,,0,,,17,2022/04/22 20:37:24+00,,2502.98198397414,243038.773222939
38,38,38,A,A,,,0,,,17,2022/04/22 20:37:24+00,,1225.37862511534,15036.4844679525
39,39,39,PQP,PQP,C24-020,,,,,16,2024/06/17 21:16:13+00,,2490.64380801046,375690.67335506
40,40,40,R-1-8,R-1-8,C24-022,,,,,1,2024/06/17 21:16:13+00,,2844.03417210159,215682.268116895
41,41,41,A,A,,,0,,,17,2022/04/22 20:37:26+00,,2823.4092520756,414568.424009032
42,42,42,MUN,MUN,C22-104,,0,,2023/06/13 00:00:00+00,7,2024/04/10 23:19:46+00,ORD30922,1440.21428838306,60066.1592562729
43,43,43,MUN,MUN,C22-104,,0,,2023/06/13 00:00:00+00,7,2024/04/10 23:19:46+00,ORD30922,2149.693326963,265317.683551463
44,44,44,PQP,PQP,C22-133,,0,,2023/11/07 00:00:00+00,16,2024/04/11 17:58:15+00,AUG29,629.540920690969,21091.1423407199
45,45,45,A,A,,,0,,,17,2023/06/20 22:08:26+00,,2078.17439954785,88009.8893199875
46,46,46,OS,OS,C24-019,,,,,17,2024/06/17 21:16:13+00,,976.228571880086,44792.418217532
47,47,47,A,A,,,0,,,17,2022/04/22 20:37:29+00,,2290.9742236467,160016.000763105
48,48,48,CP,CP,C22-101,,0,,2023/06/13 00:00:00+00,5,2024/04/10 23:20:54+00,ORD30922,312.776440647028,4739.2311479449
